SUB_DIMENSION,SHORT NAME,isReverseRelation,HE FACTOR,EN FACTOR,HE EXPLANATION ,EN EXPLANATION,HE HIGH MALE,HE HIGH FEMALE,EN HIGH,HE AVG MALE,HE AVG FEMALE,EN AVG,HE LOW MALE,HE LOW FEMALE,EN LOW
interest_in_others,EQ,1,אינטליגנציה רגשית,Emotional intelligence ," יכולתו של האדם לזהות, להיות מודע, לשלוט ולבטא רגשותיו ואת רגשות האחר",,"יעשה מעל ומעבר על מנת לתת מענה לצרכי הלקוח.
טובת הלקוח והצוות תהיה בראש מעיניו.","תעשה מעל ומעבר על מנת לתת מענה לצרכי הלקוח.
טובת הלקוח והצוות תהיה בראש מעיניה.",,"יתנהל מול לקוחות לפי התסריט המקובל אך יתכן ולא יגדיל ראש למול צרכי הלקוח.
לעיתים ישים את טובתו האישית לפני טובת הלקוח או הצוות.

","יתנהל מול לקוחות לפי התסריט המקובל אך יתכן ולא יגדיל ראש למול צרכי הלקוח.
לעיתים ישים את טובתו האישית לפני טובת הלקוח או הצוות.

",,"לא יתעניין בלקוח מעבר לצרכים הקונקרטיים של השיחה.
יהיה קורקטי ומרוחק.
יחתור לסיום השיחה וסגירת הפניה/המכירה מבלי לתת ללקוח את המענה המיטבי
ינקוט בגישה תועלתנית אל מול לקוחות וחברי הצוות.","לא תתעניין בלקוח מעבר לצרכים הקונקרטיים של השיחה.
תהיה קורקטית ומרוחקת.
תחתור לסיום השיחה וסגירת הפניה/המכירה מבלי לתת ללקוח את המענה המיטבי
תנקוט בגישה תועלתנית אל מול לקוחות וחברי הצוות.",
positivity_toward_others,EQ,1,אינטליגנציה רגשית,Emotional intelligence ,,,"יתנהל בצורה חיובית, פתוחה ומכבדת מול לקוחות וממשקים","תתנהל בצורה חיובית, פתוחה ומכבדת מול לקוחות וממשקים",,"בד""כ יתנהל בצורה חיובית מול לקוחות וממשקים אך במצבים מורכבים עלול להתנהל בצורה נוקשה/שיפוטית.","בד""כ יתנהל בצורה חיובית מול לקוחות וממשקים אך במצבים מורכבים עלול להתנהל בצורה נוקשה/שיפוטית.",,עשוי להשתמש בשפה נוקשה/בוטה ולא מותאמת מול לקוחות וממשקים,עשויה להשתמש בשפה נוקשה/בוטה ולא מותאמת מול לקוחות וממשקים,
making_others_feel_good,EQ,1,אינטליגנציה רגשית,Emotional intelligence ,,,"בעל יכולת גבוהה ליצר קשר אינטימי וקרוב עם הלקוח.
יספק תמיכה ויביע אמפתיה כלפי הלקוח.","בעלת יכולת גבוהה ליצר קשר אינטימי וקרוב עם הלקוח.
תספק תמיכה ותביע אמפתיה כלפי הלקוח.",,"לרוב ידע לספק תמיכה ולהביע אמפתיה כלפי הלקוח, עשוי להתקשות בכך בשיחות קשות.","לרוב ידע לספק תמיכה ולהביע אמפתיה כלפי הלקוח, עשוי להתקשות בכך בשיחות קשות.",,יתקשה לספק תמיכה ולהביע אמפתיה כלפי הלקוח בשיחות קשות.,תתקשה לספק תמיכה ולהביע אמפתיה כלפי הלקוח בשיחות קשות.,
Other_perspectives,LEARNING,1,יכולות למידה,Learning Ability,"היכולת ללמוד מאחרים ולשאוף לשיפור מתמיד.
שאיפה להתפתחות והתקדמות, פתיחות לקבלת משוב וליישומו.
",,"יהיה פתוח למשוב ולדעות מצד אחרים. יחפש את המשוב באופן פעיל, יתייעץ.
יישם משוב הניתן לו.","תהיה פתוחה למשוב ולדעות מצד אחרים. תחפש את המשוב באופן פעיל, תתייעץ.
תיישם משוב הניתן לה.",,"לעתים יתקשה ביישום משוב שקיבל.
לא תמיד יהיה פתוח להקשיב לדעות של אחרים.
לעיתים יהדוף ביקורת שניתנה לו.","לעתים יתקשה ביישום משוב שקיבל.
לא תמיד יהיה פתוח להקשיב לדעות של אחרים.
לעיתים יהדוף ביקורת שניתנה לו.",,"יתקשה בקבלת משוב מאחרים וביישומו. לא יתעניין או ימנע באופן אקטיבי מקבלת ביקורת.
יהדוף או יתנגד לביקורת.
יטה להתעקש על צדקת דרכו גם למול הוכחות סותרות או פידבק מהסביבה.
יעדיף להיות צודק מאשר חכם.","תתקשה בקבלת משוב מאחרים וביישומו. לא תתעניין או תמנע באופן אקטיבי מקבלת ביקורת.
תהדוף או תתנגד לביקורת.
תיטה להתעקש על צדקת דרכה גם למול הוכחות סותרות או פידבק מהסביבה.
תעדיף להיות צודקת מאשר חכמה.",
growth,LEARNING,1,יכולות למידה,Learning Ability,,,בעל שאיפה מתמדת ללמוד ולהתפתח,בעלת שאיפה מתמדת ללמוד ולהתפתח,,ישאוף ללמידה והתפתחות במידה בינונית,ישאוף ללמידה והתפתחות במידה בינונית,,שאיפותיו ללמידה והתפתחות אינן גבוהות,שאיפותיה ללמידה והתפתחות אינן גבוהות,
tempo,OUTCOME DRIVEN,1,תוצאתיות,Outcome Driven ,"מוכוונות גבוהה לתוצאות 
והגדרת מטרות ברורות . 
מקסום היכולות וניהול המשאבים בצורה האפקטיבית ביותר תוך הפגנת משמעת עצמית.
",,יעבוד בקצב גבוה תוך חתירה מתמדת לעמידה ביעדים,תעבוד בקצב גבוה תוך חתירה מתמדת לעמידה ביעדים,,יחתור לעבר המטרות תוך עבודה בקצב סביר,יחתור לעבר המטרות תוך עבודה בקצב סביר,,"יטה לדחות משימות לרגע האחרון, יתקשה להניע עצמו לפעולה
","תיטה לדחות משימות לרגע האחרון, תתקשה להניע עצמה לפעולה
",
order,OUTCOME DRIVEN,1,תוצאתיות,Outcome Driven ,,,יעבוד בצורה מסודרת ומאורגנת ,תעבוד בצורה מסודרת ומאורגנת ,,יתשדל לעבוד בצורה מסודרת ומאורגנת אך לעתים יתקשה בכך,יתשדל לעבוד בצורה מסודרת ומאורגנת אך לעתים יתקשה בכך,,"יעבוד בצורה לא מסודרת, יטה להיות מבולגן ולשכוח דברים","תעבוד בצורה לא מסודרת, תיטה להיות מבולגנת ולשכוח דברים",
planning,OUTCOME DRIVEN,1,תוצאתיות,Outcome Driven ,,,יתכנן את משימותיו ויחתור להשלמתן,תתכנן את משימותיה ותחתור להשלמתן,,יתכנן את משימותיו אך לעיתים יתקשה לדבוק בתכנון,יתכנן את משימותיו אך לעיתים יתקשה לדבוק בתכנון,,"יתקשה בתכנון המשימות והלו""ז","תתקשה בתכנון המשימות והלו""ז",
Outcome,OUTCOME DRIVEN,1,תוצאתיות,Outcome Driven ,,,יהיה ממוקד בהשגת היעדים וישקיע בכך את מירב זמנו ומאמציו,תהיה ממוקדת בהשגת היעדים ותשקיע בכך את מירב זמנה ומאמציה,,יחתור לעמידה ביעדים אך לעתים יאבד מיקוד ויתקשה בכך,יחתור לעמידה ביעדים אך לעתים יאבד מיקוד ויתקשה בכך,,יתקשה לעמוד ביעדים ולתרגם תכניות למעשים,תתקשה לעמוד ביעדים ולתרגם תכניות למעשים,
above_and_beyond,OUTCOME DRIVEN,1,תוצאתיות,Outcome Driven ,,,יעשה מעל ומעבר תוך הגדלת ראש ,תעשה מעל ומעבר תוך הגדלת ראש ,,יעשה את הנדרש ממנו אך יתכן כי לא יגדיל ראש,יעשה את הנדרש ממנו אך יתכן כי לא יגדיל ראש,,יטה להקטנת ראש ולעשות את הנדרש על מנת לצאת ידי חובה,תיטה להקטנת ראש ולעשות את הנדרש על מנת לצאת ידי חובה,
